[2026-01-29 09:50:00] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:50:05] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:50:10] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:50:15] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:50:20] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:50:25] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:50:30] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:50:35] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:50:40] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:50:45] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:50:50] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:50:55] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:51:00] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:51:05] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:51:10] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:51:15] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:51:20] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:51:25] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:51:30] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:51:35] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:51:40] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:51:45] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:51:50] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:51:55] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:52:00] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:52:05] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:52:10] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:52:15] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:52:20] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:52:25] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:52:30] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:52:35] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:52:40] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:52:45] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:52:50] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:52:55] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:53:00] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:53:05] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:53:10] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:53:16] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:53:21] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:53:26] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:53:31] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:53:36] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:53:41] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:53:46] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:53:51] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:53:56] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:54:01] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:54:06] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:54:11] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:54:16] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:54:21] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:54:26] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:54:31] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:54:36] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:54:41] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:54:46] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:54:51] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:54:56] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:55:01] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:55:06] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:55:11] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:55:16] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:55:21] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:55:26] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:55:31] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:55:36] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:55:41] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:55:46] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:55:51] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:55:56] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:56:01] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:56:06] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:56:11] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:56:16] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:56:21] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:56:26] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:56:31] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:56:36] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:56:41] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:56:46] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:56:51] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:56:56] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:57:01] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:57:06] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:57:11] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:57:16] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:57:21] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:57:26] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:57:31] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:57:36] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:57:41] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:57:46] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:57:51] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:57:56] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:58:01] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:58:06] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:58:11] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:58:16] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:58:21] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:58:26] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:58:31] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:58:36] Event: DisasterDetected, Severity: CRITICAL
[2026-01-29 09:58:41] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:58:46] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:58:51] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:58:56] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:59:01] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:59:06] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:59:11] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:59:16] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:59:21] Event: DisasterDetected, Severity: LOW
[2026-01-29 09:59:26] Event: DisasterDetected, Severity: MODERATE
[2026-01-29 09:59:31] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:59:36] Event: DisasterDetected, Severity: HIGH
[2026-01-29 09:59:41] Event: DisasterDetected, Severity: MODERATE
[2026-02-12 19:56:21] Event: DisasterDetected, Severity: CRITICAL
[2026-02-12 19:56:31] Event: DisasterDetected, Severity: CRITICAL
[2026-02-12 20:02:44] Event: DisasterDetected, Severity: CRITICAL
[2026-02-12 20:02:54] Event: DisasterDetected, Severity: HIGH
